payment,9,1600643107.785680006,1600643109.494986533,1.709306527
payment,4,1600643108.619291601,1600643109.536429224,0.917137623
payment,6,1600643109.2917933,1600643109.711552055,0.708634122
delivery,7,1600643109.2810785,1600643109.711622065,0.708811280
payment,2,1600643109.94833487,1600643110.56731696,0.961898209
delivery,1,1600643109.475606523,1600643110.169996112,0.694389589
delivery,7,1600643109.711630861,1600643110.321085003,0.609454142
payment,9,1600643109.495015176,1600643110.404598901,0.909583725
delivery,1,1600643110.170004889,1600643110.870428675,0.700423786
delivery,7,1600643110.321093600,1600643110.934946376,0.613852776
ordstat,9,1600643110.404610847,1600643111.106511177,0.701900330
neword,8,1600643109.2804661,1600643111.137343356,2.134538695
neword,6,1600643109.711637547,1600643111.328830415,1.617192868
neword,5,1600643108.877789781,1600643111.428910882,2.551121101
neword,2,1600643110.56812283,1600643111.428959372,1.372147089
neword,4,1600643109.536460283,1600643111.487514752,1.951054469
delivery,7,1600643110.934954964,1600643111.695654620,0.760699656
payment,9,1600643111.106541225,1600643111.904132422,0.797591197
delivery,1,1600643110.870437546,1600643112.23338665,1.152901119
payment,4,1600643111.487544336,1600643112.235342888,0.747798552
payment,2,1600643111.428992795,1600643112.345468058,0.916475263
slev,0,1600643104.292394346,1600643112.732315610,8.439921264
delivery,1,1600643112.23346724,1600643112.746301223,0.722954499
payment,7,1600643111.695684243,1600643112.804477907,1.108793664
payment,4,1600643112.235372156,1600643113.113126876,0.877754720
neword,5,1600643111.428947689,1600643113.296366633,1.867418944
delivery,1,1600643112.746309893,1600643113.419503103,0.673193210
payment,7,1600643112.804506173,1600643113.696560681,0.892054508
payment,5,1600643113.296396220,1600643113.779960156,0.483563936
payment,7,1600643113.696590275,1600643114.31694468,0.335104193
neword,8,1600643111.137375956,1600643114.313532491,3.176156535
neword,9,1600643111.904165291,1600643114.396790868,2.492625577
neword,6,1600643111.328861952,1600643114.455196803,3.126334851
ordstat,7,1600643114.31706330,1600643114.462517790,0.430811460
payment,8,1600643114.313562416,1600643114.659780839,0.346218423
neword,0,1600643112.732345619,1600643114.688620831,1.956275212
delivery,1,1600643113.419511911,1600643114.747003313,1.327491402
neword,2,1600643112.345500103,1600643114.922229375,2.576729272
payment,8,1600643114.659810193,1600643115.313863057,0.654052864
neword,4,1600643113.113158077,1600643115.649312133,2.536154056
payment,2,1600643114.922259091,1600643115.798281747,0.876022656
delivery,1,1600643114.747011408,1600643116.23147987,1.276136579
delivery,4,1600643115.649341039,1600643116.198454180,0.549113141
payment,2,1600643115.798310955,1600643116.431730866,0.633419911
neword,9,1600643114.396822478,1600643116.473393388,2.076570910
neword,5,1600643113.779991806,1600643116.598520835,2.818529029
neword,6,1600643114.455226459,1600643116.756787728,2.301561269
neword,8,1600643115.313893996,1600643116.923712178,1.609818182
delivery,1,1600643116.23156021,1600643116.923763009,0.900606988
payment,2,1600643116.431760014,1600643117.23628928,0.591868914
neword,7,1600643114.462549111,1600643117.77274412,2.614725301
delivery,4,1600643116.198461915,1600643117.169301817,0.970839902
payment,9,1600643116.473423642,1600643117.211373656,0.737950014
payment,6,1600643116.756819337,1600643117.449054054,0.692234717
payment,7,1600643117.77325960,1600643118.115991459,1.038665499
neword,2,1600643117.23658402,1600643118.182631894,1.158973492
delivery,1,1600643116.923772647,1600643118.274291742,1.350519095
delivery,4,1600643117.169310573,1600643118.441000389,1.271689816
slev,3,1600643109.2924214,1600643118.581703717,9.578779503
